205,000    2650 sqft   13      7       1       1       0       1639
208,000    2600 sqft   .      4       1       1       0       1088
215,000    2664 sqft   6      5       1       1       0       1193
215,000    2921 sqft   3      6       1       1       0       1635
199,900    2580 sqft   4      4       1       1       0       1732
190,000    2580 sqft   4      4       1       0       0       1534
180,000    2774 sqft   2      4       1       0       0       1765
156,000    1920 sqft   1      5       1       1       0       1161
145,000    2150 sqft   .      4       1       0       0          .
144,900    1710 sqft   1      3       1       1       0       1010
137,500    1837 sqft   4      5       1       0       0       1191
127,000    1880 sqft   8      6       1       0       0        930
125,000    2150 sqft   15      3       1       0       0        984
123,500    1894 sqft   14      5       1       1       0       1112
117,000    1928 sqft   18      8       1       1       0        600
118,000    1830 sqft   .      3       1       0       0        733
115,500    1767 sqft   16      4       1       0       0        794
111,000    1630 sqft   15      3       1       0       1        867
113,900    1680 sqft   17      4       1       0       1        750
99,500     1725 sqft   .      3       1       0       0        923
99,500     1500 sqft   15      4       1       0       0        743
97,500     1430 sqft   .      3       1       0       0        752
97,500     1360 sqft   .      4       1       0       0        696
90,000     1400 sqft   16      2       1       0       1        731
96,000     1573 sqft   17      6       1       0       0        768
86,000     1385 sqft   .      2       1       0       0        653
169,500    2931 sqft   28      3       1       0       1       1142
155,300    2200 sqft   28      4       1       0       0       1035
125,000    2277 sqft   .      4       1       1       0          .
130,000    2000 sqft   .      3       1       1       0       1076
102,000    1478 sqft   53      3       1       0       1        626
102,000    1713 sqft   30      4       1       0       1        600
92,200     1326 sqft   .      4       1       0       0        668
92,500     1050 sqft   .      2       1       0       1        553
89,900     1464 sqft   .      2       1       1       0        566
85,000     1190 sqft   41      1       1       0       0        600
87,600     1156 sqft   .      1       1       0       0          .
89,000     1746 sqft   .      2       1       0       0        591
87,000     1280 sqft   .      1       1       0       0        599
70,000     1215 sqft   .      3       1       0       0        477
72,000     1121 sqft   46      4       1       0       0        398
72,000     1050 sqft   .      1       1       0       0          .
74,900     1733 sqft   43      6       1       0       0        656
73,100     1299 sqft   .      6       1       0       0        585
72,500     1140 sqft   .      3       1       0       1        490
67,000     1181 sqft   .      4       1       0       0        440
215,000    2848 sqft   4      6       1       1       0       1487
159,900    2440 sqft   .      5       1       1       0       1265
135,000    2253 sqft   23      4       1       1       0        939
129,900    2743 sqft   25      5       1       1       1       1232
125,000    2180 sqft   17      4       1       0       1       1141
123,900    1706 sqft   14      4       1       0       0        810
120,000    1948 sqft   .      4       1       0       0        899
112,500    1710 sqft   16      4       1       1       0        800
110,000    1657 sqft   .      4       1       0       0        865
108,000    2200 sqft   26      4       1       0       0       1076
105,000    1680 sqft   13      4       1       0       0        875
104,900    1900 sqft   34      3       1       0       0        690
95,500     1565 sqft   .      3       1       1       0        648
93,400     1543 sqft   20      3       1       0       0        820
87,500     1173 sqft   6      4       1       0       0        456
88,900     1549 sqft   .      4       1       0       0        723
85,500     1900 sqft   .      3       1       0       0        780
83,500     1560 sqft   .      5       1       0       1        638
81,000     1365 sqft   .      2       1       0       0        673
80,500     1258 sqft   7      4       1       0       1        821
79,900     1314 sqft   .      2       1       0       0        671
75,000     1338 sqft   .      3       1       0       1        649
75,900     997 sqft    4      4       1       0       0        461
75,500     1275 sqft   .      5       1       0       0          .
75,000     1030 sqft   .      1       1       0       0        486
73,000     1027 sqft   .      3       1       0       0        427
72,900     1007 sqft   19      6       1       0       0        513
71,000     1083 sqft   22      4       1       0       0        504
77,300     1320 sqft   .      5       1       0       0          .
69,000     1348 sqft   15      2       1       1       0          .
67,000     1350 sqft   .      2       1       0       0        622
61,900     837 sqft    .      2       1       0       0        342
129,500    3750 sqft   .      4       0       1       1       1200
97,500     1500 sqft   7      3       0       1       1        700
93,900     1428 sqft   40      2       0       0       0        701
82,000     1375 sqft   .      1       0       0       0        585
78,000     1080 sqft   .      3       0       1       0        600
77,000     900  sqft   .      3       0       0       0        391
70,000     1505 sqft   .      2       0       0       1        591
62,000     1480 sqft   .      4       0       0       0          .
54,000     1142 sqft   .      0       0       0       0        223
107,000    1464 sqft   .      2       0       0       0        376
210,000    2116 sqft   25      3       0       1       0       1209
72,500     1280 sqft   .      3       0       0       0        447
66,000     1159 sqft   .      0       0       0       0        225
60,000     1198 sqft   .      4       0       0       0          .
58,000     1051 sqft   15      2       0       0       0        426
184,400    2250 sqft   40      6       0       1       0        915
158,000    2563 sqft   .      2       0       1       0       1189
69,900     1400 sqft   45      1       0       1       1        481
133,000    1850 sqft   5      5       0       1       1          .
116,000    1720 sqft   5      4       0       0       0        867
110,900    1740 sqft   4      3       0       0       0        816
112,900    1700 sqft   6      4       0       0       0        725
105,000    1620 sqft   6      4       0       0       0        800
104,500    1630 sqft   6      4       0       0       0        750
105,000    1920 sqft   8      4       0       0       0        944
102,000    1606 sqft   5      4       0       0       0        811
100,000    1535 sqft   7      5       0       0       1        668
103,000    1540 sqft   6      2       0       0       1        826
97,500     1739 sqft   13      3       0       0       0        880
95,000     1715 sqft   .      3       0       0       0        900
94,000     1305 sqft   5      3       0       0       0        647
92,000     1415 sqft   7      4       0       0       0        866
94,500     1580 sqft   9      3       0       0       0        810
87,400     1236 sqft   3      4       0       0       0        707
87,200     1229 sqft   6      3       0       0       0        721
87,000     1273 sqft   4      4       0       0       0        638
86,900     1165 sqft   7      4       0       0       0        694
76,600     1200 sqft   7      4       0       0       1        634
73,900     970 sqft    4      4       0       0       1        541
